# Unit 1, Chajnantor, Filter  0,  Slot 8, 350 um (712) & yellow
#				days
#				since		day of	day of
# yr	mo	dy	 time	1/1/1995	year	month	Tau	unc	Tatm	unc	mse	fitgood	Etime	R	Thot	Twarm	Tchop	Tamb	<Tint>	Filter	Toff
# 1	2	3	4	5		6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
1997	10	1	2.377	1004.0991	273.0990	0.0990	 2.92	 0.15	217.55	 0.69	 2.51	 0.96	11.57	 2.32	338.14	293.43	305.31	259.35	300.12	0	51.87
1997	10	1	2.619	1004.1091	273.1091	0.1091	 2.56	 0.15	215.64	 1.05	 7.25	 0.93	11.53	 2.28	337.83	293.38	305.14	259.04	300.00	0	51.81
1997	10	1	2.861	1004.1192	273.1192	0.1192	 2.46	 0.14	217.53	 1.10	16.54	 0.71	11.55	 2.27	337.83	293.19	306.00	258.60	299.76	0	51.72
1997	10	1	3.104	1004.1293	273.1293	0.1293	 2.23	 0.17	214.66	 1.74	 6.21	 0.99	11.63	 2.38	338.52	293.01	303.77	258.14	299.45	0	51.63
1997	10	1	3.347	1004.1395	273.1395	0.1395	 2.08	 0.07	217.16	 0.83	10.57	 0.60	11.58	 2.27	338.04	292.91	305.49	257.87	299.24	0	51.57
1997	10	1	3.589	1004.1495	273.1496	0.1496	 1.88	 0.08	205.30	 1.15	 6.89	 0.93	11.53	 1.99	337.64	292.61	302.41	257.47	298.98	0	51.49
1997	10	1	3.832	1004.1597	273.1597	0.1597	 1.89	 0.09	214.31	 1.44	 7.70	 0.97	11.65	 2.40	337.24	292.21	303.70	256.59	298.70	0	51.32
1997	10	1	4.076	1004.1698	273.1698	0.1698	 1.82	 0.08	210.32	 1.30	 8.61	 0.93	11.58	 2.29	337.33	291.83	299.78	256.37	298.30	0	51.27
1997	10	1	4.318	1004.1799	273.1799	0.1799	 1.75	 0.08	205.64	 1.40	12.13	 0.89	11.52	 2.08	338.79	291.64	302.19	256.09	297.82	0	51.22
1997	10	1	4.802	1004.2001	273.2001	0.2001	 1.93	 0.25	207.72	 3.47	13.83	 1.00	11.57	 2.30	338.98	291.60	303.65	257.84	297.39	0	51.57
1997	10	1	5.045	1004.2102	273.2102	0.2102	 1.62	 0.07	208.23	 1.43	15.94	 0.81	11.58	 2.22	339.21	291.68	301.47	257.96	297.20	0	51.59
1997	10	1	5.288	1004.2203	273.2203	0.2203	 1.63	 0.07	208.17	 1.50	12.21	 0.90	11.53	 2.22	339.04	291.61	303.40	257.67	297.00	0	51.53
1997	10	1	5.773	1004.2405	273.2405	0.2405	 1.44	 0.04	207.23	 1.13	14.89	 0.56	11.55	 2.35	338.52	291.42	302.45	258.62	296.72	0	51.72
1997	10	1	6.015	1004.2506	273.2506	0.2506	 1.65	 0.04	207.46	 0.80	17.43	 0.17	11.55	 2.45	338.42	291.37	303.00	258.74	296.65	0	51.75
1997	10	1	6.257	1004.2607	273.2607	0.2607	 1.49	 0.08	205.75	 2.06	 8.50	 0.99	11.57	 2.38	338.28	291.31	302.12	259.02	296.57	0	51.80
1997	10	1	6.500	1004.2708	273.2708	0.2708	 1.54	 0.07	206.65	 1.70	 8.71	 0.97	11.57	 2.41	338.26	291.22	304.27	258.98	296.45	0	51.80
1997	10	1	6.742	1004.2809	273.2809	0.2809	 1.50	 0.06	207.28	 1.54	 8.01	 0.96	11.53	 2.45	338.32	291.19	303.17	258.66	296.40	0	51.73
1997	10	1	6.984	1004.2910	273.2910	0.2910	 1.42	 0.05	206.10	 1.37	24.47	 0.48	11.58	 2.36	338.65	291.22	302.07	258.74	296.30	0	51.75
1997	10	1	7.227	1004.3011	273.3011	0.3011	 1.39	 0.06	205.15	 1.84	17.68	 0.87	11.55	 2.29	338.82	291.27	301.99	259.75	296.22	0	51.95
1997	10	1	7.469	1004.3112	273.3112	0.3112	 1.51	 0.07	207.30	 1.65	24.50	 0.72	11.55	 2.34	339.24	291.32	304.10	259.74	296.24	0	51.95
1997	10	1	7.711	1004.3213	273.3213	0.3213	 1.51	 0.03	209.65	 0.82	19.84	 0.09	11.57	 2.43	339.22	291.40	304.56	259.64	296.25	0	51.93
1997	10	1	7.954	1004.3314	273.3314	0.3314	 1.68	 0.06	205.18	 1.16	31.49	 0.25	11.58	 2.48	339.15	291.50	301.57	260.12	296.25	0	52.02
1997	10	1	8.197	1004.3416	273.3416	0.3415	 1.61	 0.07	209.36	 1.47	18.79	 0.77	11.55	 2.48	339.02	291.56	304.53	259.92	296.28	0	51.98
1997	10	1	8.440	1004.3517	273.3517	0.3517	 1.49	 0.04	202.94	 1.04	16.03	 0.44	11.68	 2.31	339.03	291.76	301.84	259.92	296.28	0	51.98
1997	10	1	8.683	1004.3618	273.3618	0.3618	 1.59	 0.04	208.09	 0.91	26.87	 0.08	11.53	 2.46	339.05	291.94	302.89	260.47	296.33	0	52.09
1997	10	1	9.167	1004.3820	273.3820	0.3820	 1.75	 0.05	208.22	 0.92	20.89	 0.24	11.53	 2.49	339.13	292.09	305.72	261.87	296.44	0	52.37
