# Unit 1, South Pole, Filter  0,  Slot 0, 350 um (771) & yellow
#				days
#				since		day of	day of
# yr	mo	dy	 time	1/1/1995	year	month	Tau	unc	Tatm	unc	mse	fitgood	Etime	R	Thot	Twarm	Tchop	Tamb	<Tint>	Filter	Toff
# 1	2	3	4	5		6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
2016	9	11	4.993	7924.2080	254.2080	10.2080	 0.93	 0.06	151.50	 2.92	30.45	 0.76	10.23	 2.11	328.18	264.65	274.73	222.16	280.47	0	44.43
2016	9	11	5.202	7924.2168	254.2168	10.2168	 1.00	 0.06	151.83	 2.35	30.80	 0.64	10.15	 2.15	328.04	264.18	275.19	221.93	280.17	0	44.39
2016	9	11	5.411	7924.2254	254.2254	10.2254	 0.93	 0.07	149.25	 3.16	18.77	 0.93	10.13	 2.04	328.03	263.71	274.19	221.80	280.10	0	44.36
2016	9	11	5.619	7924.2341	254.2341	10.2341	 0.98	 0.07	153.47	 2.91	24.92	 0.86	10.13	 2.15	328.03	263.30	275.51	221.74	279.83	0	44.35
2016	9	11	5.827	7924.2428	254.2428	10.2428	 1.02	 0.06	151.25	 2.58	 8.81	 0.98	10.13	 2.11	328.06	262.97	276.13	221.67	279.85	0	44.33
2016	9	11	6.036	7924.2515	254.2515	10.2515	 1.06	 0.07	152.68	 2.77	 6.79	 0.99	10.15	 2.14	328.01	262.67	275.62	221.57	279.67	0	44.31
2016	9	11	6.244	7924.2602	254.2602	10.2602	 0.96	 0.07	150.42	 2.95	27.15	 0.83	10.15	 2.08	328.12	262.40	271.90	221.44	279.68	0	44.29
2016	9	11	6.452	7924.2689	254.2689	10.2689	 1.02	 0.06	148.90	 2.36	32.62	 0.63	10.15	 2.10	328.08	262.16	273.50	221.34	279.48	0	44.27
2016	9	11	6.661	7924.2775	254.2775	10.2775	 0.94	 0.05	150.49	 2.38	26.11	 0.66	10.15	 2.07	328.15	261.93	273.60	221.22	279.51	0	44.24
2016	9	11	6.886	7924.2869	254.2869	10.2869	 1.07	 0.07	154.29	 2.46	15.65	 0.92	10.23	 2.17	328.10	261.69	275.90	221.15	279.35	0	44.23
2016	9	11	7.095	7924.2956	254.2956	10.2956	 1.04	 0.07	155.27	 2.72	20.44	 0.90	10.15	 2.11	328.07	261.52	276.96	221.15	279.38	0	44.23
2016	9	11	7.304	7924.3043	254.3043	10.3043	 0.97	 0.06	152.85	 2.72	24.16	 0.83	10.13	 2.06	328.12	261.38	275.05	221.08	279.30	0	44.22
2016	9	11	7.512	7924.3130	254.3130	10.3130	 0.94	 0.07	151.39	 3.36	25.11	 0.90	10.13	 2.05	328.11	261.24	274.07	220.95	279.26	0	44.19
2016	9	11	7.721	7924.3217	254.3217	10.3217	 0.96	 0.06	151.06	 2.47	18.17	 0.85	10.13	 2.06	328.14	261.14	273.00	220.91	279.28	0	44.18
2016	9	11	7.929	7924.3304	254.3304	10.3304	 0.99	 0.07	153.61	 3.08	22.86	 0.91	10.13	 2.08	328.09	261.06	275.06	220.93	279.23	0	44.19
2016	9	11	8.137	7924.3391	254.3391	10.3391	 1.16	 0.07	154.04	 2.25	16.88	 0.91	10.15	 2.17	328.12	261.00	276.33	220.95	279.18	0	44.19
2016	9	11	8.346	7924.3477	254.3477	10.3477	 1.12	 0.07	152.67	 2.26	13.77	 0.93	10.15	 2.15	328.16	260.94	276.84	221.05	279.19	0	44.21
2016	9	11	8.554	7924.3564	254.3564	10.3564	 1.06	 0.07	155.51	 2.54	12.66	 0.96	10.15	 2.12	328.13	260.92	276.76	221.26	279.18	0	44.25
