# Unit 3, Cerro Chajnantor CCAT, Filter  0,  Slot 1, 350 um (616) & yellow
#				days
#				since		day of	day of
# yr	mo	dy	 time	1/1/1995	year	month	Tau	unc	Tatm	unc	mse	fitgood	Etime	R	Thot	Twarm	Tchop	Tamb	<Tint>	Filter	Toff
# 1	2	3	4	5		6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
2011	11	5	19.163	6152.7983	308.7985	4.7984	 0.90	 0.39	186.24	24.34	367.51	 0.99	10.73	 1.20	320.44	291.37	297.15	282.45	297.47	0	56.49
2011	11	5	20.482	6152.8535	308.8534	4.8534	 0.79	 0.06	183.55	 4.46	 8.40	 0.99	10.72	 1.15	317.96	291.24	305.59	 0.00	301.71	0	54.00
2011	11	5	20.948	6152.8730	308.8728	4.8728	 0.50	 0.07	200.76	13.80	 8.44	 1.00	10.78	 1.05	315.55	290.59	303.98	276.11	297.37	0	55.22
2011	11	5	23.615	6152.9839	308.9840	4.9840	 0.70	 0.05	170.35	 4.94	 6.91	 0.99	10.82	 1.14	321.20	281.05	291.12	 0.00	 0.00	0	54.00
2011	11	6	0.951	6153.0396	309.0396	5.0396	 0.58	 0.05	177.62	 6.75	 4.18	 1.00	10.78	 1.16	322.40	280.26	286.64	265.00	285.39	0	53.00
2011	11	6	1.418	6153.0591	309.0591	5.0591	 0.70	 0.06	177.11	 5.64	 2.35	 1.00	10.83	 1.23	322.38	280.14	286.15	265.05	286.94	0	53.01
2011	11	6	3.652	6153.1523	309.1522	5.1522	 0.65	 0.04	180.44	 4.58	 7.10	 0.99	10.77	 1.22	322.36	279.89	288.39	264.89	285.17	0	52.98
2011	11	6	4.093	6153.1704	309.1705	5.1705	 0.62	 0.05	181.45	 5.45	 2.09	 1.00	10.80	 1.23	322.30	279.91	285.90	264.91	285.20	0	52.98
2011	11	6	4.534	6153.1890	309.1889	5.1889	 0.63	 0.05	186.62	 5.64	 4.74	 1.00	10.88	 1.23	322.30	279.85	286.24	 0.00	 0.00	0	54.00
2011	11	6	5.414	6153.2256	309.2256	5.2256	 0.68	 0.03	185.52	 3.42	 4.17	 0.99	10.82	 1.24	322.29	279.72	286.87	264.84	287.96	0	52.97
2011	11	6	5.882	6153.2451	309.2451	5.2451	 0.69	 0.04	187.76	 4.38	 2.29	 1.00	10.88	 1.22	322.36	279.63	287.42	264.89	286.49	0	52.98
2011	11	6	6.324	6153.2637	309.2635	5.2635	 0.54	 0.04	188.34	 6.48	 7.40	 0.99	10.77	 1.17	322.29	279.58	285.48	264.87	286.40	0	52.97
2011	11	6	6.764	6153.2817	309.2819	5.2819	 0.62	 0.04	181.56	 4.42	 2.94	 1.00	10.72	 1.23	322.31	279.53	286.07	264.91	286.33	0	52.98
2011	11	6	7.205	6153.3003	309.3002	5.3002	 0.44	 0.04	194.21	 8.33	 9.29	 0.98	10.80	 1.11	322.28	279.46	285.08	264.89	286.29	0	52.98
2011	11	6	8.550	6153.3564	309.3562	5.3562	 0.48	 0.04	182.84	 7.10	 6.10	 0.99	10.82	 1.16	322.32	279.13	286.39	264.91	285.91	0	52.98
2011	11	6	8.993	6153.3745	309.3747	5.3747	 0.60	 0.04	179.65	 5.53	 7.31	 0.99	10.77	 1.26	322.23	279.00	286.55	263.35	284.30	0	52.67
2011	11	6	9.871	6153.4111	309.4113	5.4113	 0.44	 0.04	180.56	 8.58	 6.91	 0.99	10.75	 1.14	322.30	278.65	284.42	263.39	285.13	0	52.68
2011	11	6	12.556	6153.5229	309.5232	5.5232	 1.07	 0.48	148.73	16.86	798.90	 0.91	10.75	 1.14	322.73	285.16	290.90	274.18	291.84	0	54.84
2011	11	6	13.434	6153.5596	309.5598	5.5597	 0.61	 0.03	183.46	 4.08	 9.76	 0.94	10.73	 1.20	322.06	288.61	297.91	276.36	299.56	0	55.27
2011	11	6	14.773	6153.6157	309.6155	5.6155	 1.24	 0.06	194.50	 1.99	 4.93	 0.99	10.80	 1.20	318.21	293.57	303.89	279.62	300.05	0	55.92
2011	11	6	19.903	6153.8291	309.8293	5.8293	 0.79	 0.07	205.41	 5.78	 5.92	 1.00	10.83	 1.04	317.89	294.61	310.77	281.74	300.58	0	56.35
2011	11	6	23.480	6153.9785	309.9783	5.9783	 1.31	 0.07	198.66	 2.27	 2.66	 1.00	10.77	 1.10	319.87	286.34	297.75	 0.00	 0.00	0	54.00
2011	11	6	23.920	6153.9966	309.9967	5.9967	 1.25	 0.07	203.30	 2.61	 2.68	 1.00	10.73	 1.18	319.13	285.25	295.40	 0.00	292.64	0	54.00
2011	11	7	0.360	6154.0151	310.0150	6.0150	 1.32	 0.06	202.91	 1.92	 2.24	 1.00	10.77	 1.15	318.87	284.30	294.77	265.29	 0.00	0	53.06
2011	11	7	0.799	6154.0332	310.0333	6.0333	 1.39	 0.09	196.94	 2.38	 5.28	 1.00	10.83	 1.09	319.32	283.53	291.34	265.14	289.18	0	53.03
2011	11	7	1.242	6154.0518	310.0518	6.0518	 1.53	 0.08	205.14	 1.84	 3.29	 1.00	10.75	 1.25	319.10	283.04	292.83	265.50	290.08	0	53.10
2011	11	7	1.706	6154.0713	310.0711	6.0711	 1.16	 0.05	201.23	 2.16	 2.14	 1.00	10.75	 1.16	318.94	282.65	291.80	 0.00	289.83	0	54.00
2011	11	7	2.148	6154.0894	310.0895	6.0895	 1.21	 0.06	198.41	 2.25	 2.93	 1.00	10.90	 1.20	319.00	282.37	290.57	265.26	291.27	0	53.05
2011	11	7	2.590	6154.1079	310.1079	6.1079	 0.95	 0.05	192.78	 2.71	 1.12	 1.00	10.93	 1.18	319.10	282.12	290.24	264.86	289.35	0	52.97
2011	11	7	3.471	6154.1445	310.1447	6.1446	 0.82	 0.04	196.26	 3.37	 7.96	 0.98	10.72	 1.28	319.03	281.68	290.89	265.33	287.39	0	53.07
2011	11	7	5.258	6154.2192	310.2191	6.2191	 0.95	 0.05	199.27	 2.84	 2.85	 1.00	10.78	 1.21	319.11	280.50	290.51	264.83	288.07	0	52.97
2011	11	7	5.700	6154.2373	310.2375	6.2375	 1.04	 0.06	198.09	 2.77	11.78	 0.97	10.77	 1.21	319.01	280.15	288.88	264.84	287.86	0	52.97
2011	11	7	6.168	6154.2568	310.2570	6.2570	 1.03	 0.06	200.01	 2.84	 2.77	 1.00	10.78	 1.20	319.13	279.88	289.66	264.85	287.63	0	52.97
2011	11	7	6.614	6154.2754	310.2756	6.2756	 1.04	 0.04	194.57	 1.91	 2.38	 1.00	10.75	 1.15	319.08	279.79	288.20	264.86	286.08	0	52.97
2011	11	7	7.494	6154.3120	310.3123	6.3122	 0.91	 0.03	197.13	 2.20	 3.39	 0.99	10.73	 1.17	319.07	279.83	289.55	264.91	287.16	0	52.98
2011	11	7	7.935	6154.3306	310.3306	6.3306	 0.85	 0.04	200.76	 2.67	 1.97	 1.00	10.82	 1.23	319.42	279.86	288.62	264.84	288.47	0	52.97
2011	11	7	8.398	6154.3501	310.3499	6.3499	 0.95	 0.04	199.38	 2.46	 2.20	 1.00	10.80	 1.26	319.66	279.89	289.71	264.76	 0.00	0	52.95
2011	11	7	8.843	6154.3687	310.3684	6.3684	 0.90	 0.04	196.26	 2.41	 3.61	 0.99	10.78	 1.30	319.58	280.01	289.51	264.75	287.11	0	52.95
2011	11	7	9.283	6154.3867	310.3868	6.3868	 0.75	 0.04	189.99	 3.32	 4.07	 0.99	10.78	 1.14	319.57	280.15	287.07	265.30	287.09	0	53.06
2011	11	7	9.726	6154.4053	310.4052	6.4052	 0.83	 0.04	187.43	 2.75	 3.19	 1.00	10.87	 1.22	319.35	280.18	287.94	265.23	287.14	0	53.05
2011	11	7	10.632	6154.4429	310.4430	6.4430	 0.70	 0.05	183.24	 5.00	 3.74	 1.00	10.87	 1.21	319.32	280.78	289.59	267.95	 0.00	0	53.59
2011	11	7	11.074	6154.4614	310.4614	6.4614	 0.69	 0.03	187.32	 3.53	 2.11	 1.00	10.78	 1.28	319.43	281.45	290.08	268.91	288.87	0	53.78
2011	11	7	11.517	6154.4800	310.4799	6.4799	 0.65	 0.04	184.48	 4.10	 2.48	 1.00	10.85	 1.19	319.71	282.52	291.43	269.58	288.13	0	53.92
2011	11	7	12.396	6154.5166	310.5165	6.5165	 0.78	 0.05	179.87	 4.01	 3.46	 1.00	10.73	 1.27	319.79	285.15	294.99	272.89	292.71	0	54.58
2011	11	7	12.858	6154.5356	310.5357	6.5357	 0.63	 0.05	183.08	 5.44	 7.63	 0.99	10.80	 1.13	320.28	286.79	298.07	273.17	292.46	0	54.63
2011	11	7	13.297	6154.5542	310.5540	6.5541	 0.63	 0.04	187.83	 4.20	 5.08	 0.99	10.75	 1.17	320.54	288.41	298.20	274.16	299.22	0	54.83
2011	11	7	13.734	6154.5723	310.5723	6.5723	 0.54	 0.04	198.32	 6.38	22.02	 0.90	10.75	 1.04	319.49	290.03	301.52	276.36	297.47	0	55.27
2011	11	7	17.266	6154.7192	310.7194	6.7194	 0.45	 0.04	217.28	10.98	13.34	 0.99	10.73	 0.91	316.51	297.70	310.63	286.13	303.23	0	57.23
2011	11	7	23.038	6154.9600	310.9599	6.9599	 0.73	 0.05	191.04	 4.69	 3.76	 1.00	10.85	 1.26	315.50	286.98	299.88	266.31	295.90	0	53.26
